Incident_ID,Date,Quarter,State,School_Level
20181012MIBAB,2018-10-12,Fall,Michigan,Elementary
20181007VAVAH,2018-10-07,Fall,Virginia,High
20181005VALAN,2018-10-05,Fall,Virginia,High
20181005TNHAB,2018-10-05,Fall,Tennessee,High
20181004ORJAP,2018-10-04,Fall,Oregon,Elementary
20181003AKDEA,2018-10-03,Fall,Alaska,Elementary
20181002ARCHL,2018-10-02,Fall,Arkansas,Elementary
20180928SDCHC,2018-09-28,Fall,South Dakota,High
20180927TXHEC,2018-09-27,Fall,Texas,High
20180926MDMAB,2018-09-26,Fall,Maryland,Elementary
20180924PACEP,2018-09-24,Fall,Pennsylvania,High
20180924NCLAC,2018-09-24,Fall,North Carolina,Elementary
20180924GAAPB,2018-09-24,Fall,Georgia,High
20180920CAPOP,2018-09-20,Fall,California,High
20180920CACHL,2018-09-20,Fall,California,High
20180917ALBLH,2018-09-17,Fall,Alabama,Elementary
20180914WAMAE,2018-09-14,Fall,Washington,High
20180914FLBOB,2018-09-14,Fall,Florida,High
20180911NVCAL,2018-09-11,Fall,Nevada,High
20180910TNFAM,2018-09-10,Fall,Tennessee,High
20180910ILCHC,2018-09-10,Fall,Illinois,High
20180909CAGIG,2018-09-09,Fall,California,High
20180907IAHED,2018-09-07,Fall,Iowa,High
20180905RIPRP,2018-09-05,Fall,Rhode Island,High
20180903NYLUN,2018-09-03,Fall,New York,Elementary
20180831IANOE,2018-08-31,Summer,Iowa,Junior High
20180831CABAS,2018-08-31,Summer,California,High
20180830NCVIC,2018-08-30,Summer,North Carolina,Elementary
20180830MIOTG,2018-08-30,Summer,Michigan,High
20180829DETOD,2018-08-29,Summer,Delaware,Elementary
20180828COCOD,2018-08-28,Summer,Colorado,Middle
20180824ILMEC,2018-08-24,Summer,Illinois,High
20180824FLRAJ,2018-08-24,Summer,Florida,High
20180823ALALM,2018-08-23,Summer,Alabama,High
20180817FLPAW,2018-08-17,Summer,Florida,High
20180811TNANN,2018-08-11,Summer,Tennessee,High
20180809NJLAM,2018-08-09,Summer,New Jersey,Middle
20180804MDEDE,2018-08-04,Summer,Maryland,High
20180719WAWEY,2018-07-19,Summer,Washington,Middle
20180717WVHUH,2018-07-17,Summer,West Virginia,High
20180711OHMIM,2018-07-11,Summer,Ohio,Middle
20180703KSSUO,2018-07-03,Summer,Kansas,Elementary
20180701TNRAM,2018-07-01,Summer,Tennessee,Elementary
20180625OHFUS,2018-06-25,Summer,Ohio,Elementary
20180624MTSEM,2018-06-24,Summer,Montana,High
20180621TXSKD,2018-06-21,Summer,Texas,High
20180617ORGRP,2018-06-17,Summer,Oregon,High
20180615OHVAB,2018-06-15,Summer,Ohio,Elementary
20180601TXMCM,2018-06-01,Summer,Texas,High
20180525INNON,2018-05-25,Spring,Indiana,Middle
20180521GABEG,2018-05-21,Spring,Georgia,High
20180518TXSAS,2018-05-18,Spring,Texas,High
20180518GAMOA,2018-05-18,Spring,Georgia,High
20180517MOCEK,2018-05-17,Spring,Missouri,High
20180516ILDID,2018-05-16,Spring,Illinois,High
20180511CAHIP,2018-05-11,Spring,California,High
20180505MIFOF,2018-05-05,Spring,Michigan,High
20180503TNWAW,2018-05-03,Spring,Tennessee,High
20180503SDENW,2018-05-03,Spring,South Dakota,K-8
20180423GABEA,2018-04-23,Spring,Georgia,High
20180420FLFOO,2018-04-20,Spring,Florida,High
20210511CAVEL,2021-05-11,Spring,California,High
20180419MIJAJ,2018-04-19,Spring,Michigan,High
20180412MORAR,2018-04-12,Spring,Missouri,Middle
20180409NYGLG,2018-04-09,Spring,New York,Middle
20180329KYJOE,2018-03-29,Spring,Kentucky,High
20180328MSEUE,2018-03-28,Spring,Mississippi,High
20180320MDGRG,2018-03-20,Spring,Maryland,High
20180319VADOP,2018-03-19,Spring,Virginia,Elementary
20180316MTBIM,2018-03-16,Spring,Montana,High
20180313VAGEA,2018-03-13,Spring,Virginia,Middle
20180313CASES,2018-03-13,Spring,California,High
20180309KYFRL,2018-03-09,Spring,Kentucky,High
20180307ALHUB,2018-03-07,Spring,Alabama,High
20180305MOKIC,2018-03-05,Spring,Missouri,K-12
20180228GADAD,2018-02-28,Winter,Georgia,High
20180226WAOAT,2018-02-26,Winter,Washington,High
20180220OHJAM,2018-02-20,Winter,Ohio,Middle
20180215FLNOC,2018-02-15,Winter,Florida,K-12
20180214FLMAP,2018-02-14,Winter,Florida,High
20180209TNPEN,2018-02-09,Winter,Tennessee,High
20180208NYTHN,2018-02-08,Winter,New York,High
20180205MNHAM,2018-02-05,Winter,Minnesota,Elementary
20180205MDOXO,2018-02-05,Winter,Maryland,High
20180201CASAL,2018-02-01,Winter,California,Middle
20180131PALIP,2018-01-31,Winter,Pennsylvania,High
20180126MIDED,2018-01-26,Winter,Michigan,High
20180125ALMUM,2018-01-25,Winter,Alabama,High
20180123KYMAB,2018-01-23,Winter,Kentucky,High
20180122TXITI,2018-01-22,Winter,Texas,High
20180122LANEN,2018-01-22,Winter,Louisiana,High
20180116VTMOM,2018-01-16,Winter,Vermont,High
20180109AZCOS,2018-01-09,Winter,Arizona,Elementary
20180105IAFOF,2018-01-05,Winter,Iowa,
20180104WANES,2018-01-04,Winter,Washington,High
20171231WAPIM,2017-12-31,Winter,Washington,Elementary
20171231LAEDA,2017-12-31,Winter,Louisiana,High
20171227CALIL,2017-12-27,Winter,California,Elementary
20171219MIBEB,2017-12-19,Winter,Michigan,High
20171214TXELD,2017-12-14,Winter,Texas,Elementary
20171212TXSAP,2017-12-12,Winter,Texas,High
20171211NCHIH,2017-12-11,Winter,North Carolina,High
20171209ILCHC,2017-12-09,Winter,Illinois,High
20171207NMAZA,2017-12-07,Winter,New Mexico,High
20210426MNPLP,2021-04-26,Spring,Minnesota,Middle
20171130VASAV,2017-11-30,Fall,Virginia,High
20171129OHBAL,2017-11-29,Fall,Ohio,High
20171128CABOS,2017-11-28,Fall,California,Elementary
20171123COMAD,2017-11-23,Fall,Colorado,High
20171117TNNOJ,2017-11-17,Fall,Tennessee,High
20171114FLLAM,2017-11-14,Fall,Florida,High
20171114CARAR,2017-11-14,Fall,California,Elementary
20171110GALAM,2017-11-10,Fall,Georgia,Elementary
20171109GABEC,2017-11-09,Fall,Georgia,High
20171103MIPAL,2017-11-03,Fall,Michigan,Middle
20171027NYPRU,2017-10-27,Fall,New York,High
20171020OHSTT,2017-10-20,Fall,Ohio,High
20171014NCKEK,2017-10-14,Fall,North Carolina,Elementary
20171012NCCHC,2017-10-12,Fall,North Carolina,
20170930PAPUC,2017-09-30,Fall,Pennsylvania,Elementary
20170929MOLEL,2017-09-29,Fall,Missouri,High
20170929CASUL,2017-09-29,Fall,California,High
20170928KYSOL,2017-09-28,Fall,Kentucky,Middle
20170920ILMAM,2017-09-20,Fall,Illinois,High
20170913WAFRR,2017-09-13,Fall,Washington,High
20210104NYPEJ,2021-01-04,Winter,New York,6-12
20210407ILPEP,2021-04-07,Spring,Illinois,High
20170908OHCOC,2017-09-08,Fall,Ohio,6-12
20170908ARNON,2017-09-08,Fall,Arkansas,High
20170831CAARS,2017-08-31,Summer,California,High
20170817GALIL,2017-08-17,Summer,Georgia,High
20170801GABAV,2017-08-01,Summer,Georgia,High
20170721UTSPS,2017-07-21,Summer,Utah,High
20170719WIHIM,2017-07-19,Summer,Wisconsin,High
20170622SCWIF,2017-06-22,Summer,South Carolina,High
20170616ILWAC,2017-06-16,Summer,Illinois,Elementary
20170526OKMCT,2017-05-26,Spring,Oklahoma,High
20170524NEMCO,2017-05-24,Spring,Nebraska,Middle
20170524ALGRG,2017-05-24,Spring,Alabama,High
20170523TXKEK,2017-05-23,Spring,Texas,High
20170515LAMOL,2017-05-15,Spring,Louisiana,Elementary
20170415OKBOT,2017-04-15,Spring,Oklahoma,High
20170410CANOS,2017-04-10,Spring,California,Elementary
20170328PALIP,2017-03-28,Spring,Pennsylvania,Middle
20170321CAKIK,2017-03-21,Spring,California,High
20170316ALROM,2017-03-16,Spring,Alabama,High
20170218MNMAM,2017-02-18,Winter,Minnesota,Middle
20170206LASCB,2017-02-06,Winter,Louisiana,High
20170127SCSOA,2017-01-27,Winter,South Carolina,High
20170120OHWEW,2017-01-20,Winter,Ohio,High
20170117FLFRE,2017-01-17,Winter,Florida,Elementary
20170110ALALA,2017-01-10,Winter,Alabama,Middle
20170101DELAH,2017-01-01,Winter,Delaware,Elementary
20161209NVHUR,2016-12-09,Winter,Nevada,High
20161209MOBAS,2016-12-09,Winter,Missouri,High
20161201UTMUB,2016-12-01,Winter,Utah,Junior High
20161117MNCRS,2016-11-17,Fall,Minnesota,Elementary
20161111MIBAA,2016-11-11,Fall,Michigan,High
20161103COBEB,2016-11-03,Fall,Colorado,High
20161102COGRG,2016-11-02,Fall,Colorado,High
20161025UTUNS,2016-10-25,Fall,Utah,Middle
20161018CAJUS,2016-10-18,Fall,California,High
20161015GABEA,2016-10-15,Fall,Georgia,High
20161013OHLIC,2016-10-13,Fall,Ohio,High
20161011ALVIM,2016-10-11,Fall,Alabama,High
20161006TXDUF,2016-10-06,Fall,Texas,High
20160930ILCHC,2016-09-30,Fall,Illinois,High
20160928SCTOT,2016-09-28,Fall,South Carolina,Elementary
20160927OHELC,2016-09-27,Fall,Ohio,High
20160926MSTAJ,2016-09-26,Fall,Mississippi,High
20160909PASMY,2016-09-09,Fall,Pennsylvania,High
20160909IACEC,2016-09-09,Fall,Iowa,High
20160908TXALA,2016-09-08,Fall,Texas,High
20160907MIDED,2016-09-07,Fall,Michigan,High
20160902OKMCT,2016-09-02,Fall,Oklahoma,High
20160819FLSOM,2016-08-19,Summer,Florida,High
20160817OHWEC,2016-08-17,Summer,Ohio,Middle
